,Sentence #,Word,Tag
0,Sentence: 1,CÔNG,B-COM
1,Sentence: 1,TY,I-COM
2,Sentence: 1,TNHH,I-COM
3,Sentence: 1,TỔNG,I-COM
4,Sentence: 1,HỢP,I-COM
5,Sentence: 1,N,I-COM
6,Sentence: 1,K,I-COM
7,Sentence: 1,T,I-COM
8,Sentence: 2,B&K,B-COM
9,Sentence: 2,VINA,I-COM
10,Sentence: 2,IMPORT,I-COM
11,Sentence: 2,EXPORT,I-COM
12,Sentence: 2,COMPANY,I-COM
13,Sentence: 2,LIMITED,I-COM
14,Sentence: 2,",",O
15,Sentence: 2,B&K,B-COM
16,Sentence: 2,VINA,I-COM
17,Sentence: 2,IMPORT,I-COM
18,Sentence: 2,EXPORT,I-COM
19,Sentence: 2,COMPANY,I-COM
20,Sentence: 2,LIMITED,I-COM
21,Sentence: 2,",",O
22,Sentence: 2,CÔNG,B-COM
23,Sentence: 2,TY,I-COM
24,Sentence: 2,TNHH,I-COM
25,Sentence: 2,XUẤT,I-COM
26,Sentence: 2,NHẬP,I-COM
27,Sentence: 2,KHẨU,I-COM
28,Sentence: 2,B&AMP;K,I-COM
29,Sentence: 2,VINA,I-COM
30,Sentence: 3,CÔNG,B-COM
31,Sentence: 3,TY,I-COM
32,Sentence: 3,TNHH,I-COM
33,Sentence: 3,THƯƠNG,I-COM
34,Sentence: 3,MẠI,I-COM
35,Sentence: 3,VÀ,I-COM
36,Sentence: 3,DU,I-COM
37,Sentence: 3,LỊCH,I-COM
38,Sentence: 3,E,I-COM
39,Sentence: 3,-,I-COM
40,Sentence: 3,COSWAY,I-COM
41,Sentence: 3,VIỆT,I-COM
42,Sentence: 3,NAM,I-COM
43,Sentence: 4,CM2,B-COM
44,Sentence: 4,JSC,I-COM
45,Sentence: 4,",",O
46,Sentence: 4,CONSTRUCTION,B-COM
47,Sentence: 4,AND,I-COM
48,Sentence: 4,BUILDING,I-COM
49,Sentence: 4,MATERIASL,I-COM
50,Sentence: 4,NO,I-COM
51,Sentence: 4,2,I-COM
52,Sentence: 4,JOINT,I-COM
53,Sentence: 4,STOCK,I-COM
54,Sentence: 4,COMPANY,I-COM
55,Sentence: 4,",",O
56,Sentence: 4,CÔNG,B-COM
57,Sentence: 4,TY,I-COM
58,Sentence: 4,CỔ,I-COM
59,Sentence: 4,PHẦN,I-COM
60,Sentence: 4,XÂY,I-COM
61,Sentence: 4,LẮP,I-COM
62,Sentence: 4,VÀ,I-COM
63,Sentence: 4,VẬT,I-COM
64,Sentence: 4,TƯ,I-COM
65,Sentence: 4,XÂY,I-COM
66,Sentence: 4,DỰNG,I-COM
67,Sentence: 4,2,I-COM
68,Sentence: 5,CÔNG,B-COM
69,Sentence: 5,TY,I-COM
70,Sentence: 5,CỔ,I-COM
71,Sentence: 5,PHẦN,I-COM
72,Sentence: 5,THƯƠNG,I-COM
73,Sentence: 5,MẠI,I-COM
74,Sentence: 5,CỬU,I-COM
75,Sentence: 5,LONG,I-COM
76,Sentence: 5,VIỆT,I-COM
77,Sentence: 5,NAM,I-COM
78,Sentence: 6,LEGAL,B-COM
79,Sentence: 6,AND,I-COM
80,Sentence: 6,ERA,I-COM
81,Sentence: 6,COMMUNICATION,I-COM
82,Sentence: 6,JOINT,I-COM
83,Sentence: 6,STOCK,I-COM
84,Sentence: 6,COMPANY,I-COM
85,Sentence: 6,",",O
86,Sentence: 6,CÔNG,B-COM
87,Sentence: 6,TY,I-COM
88,Sentence: 6,CỔ,I-COM
89,Sentence: 6,PHẦN,I-COM
90,Sentence: 6,TRUYỀN,I-COM
91,Sentence: 6,THÔNG,I-COM
92,Sentence: 6,PHÁP,I-COM
93,Sentence: 6,LUẬT,I-COM
94,Sentence: 6,VÀ,I-COM
95,Sentence: 6,THỜI,I-COM
96,Sentence: 6,ĐẠI,I-COM
97,Sentence: 7,CÔNG,B-COM
98,Sentence: 7,TY,I-COM
99,Sentence: 7,TNHH,I-COM
100,Sentence: 7,TTBYT,I-COM
101,Sentence: 7,BEGIN,I-COM
102,Sentence: 7,",",O
103,Sentence: 7,CÔNG,B-COM
104,Sentence: 7,TY,I-COM
105,Sentence: 7,TNHH,I-COM
106,Sentence: 7,TTBYT,I-COM
107,Sentence: 7,BEGIN,I-COM
108,Sentence: 7,",",O
109,Sentence: 7,CÔNG,B-COM
110,Sentence: 7,TY,I-COM
111,Sentence: 7,TNHH,I-COM
112,Sentence: 7,TRANG,I-COM
113,Sentence: 7,THIẾT,I-COM
114,Sentence: 7,BỊ,I-COM
115,Sentence: 7,Y,I-COM
116,Sentence: 7,TẾ,I-COM
117,Sentence: 7,B,I-COM
118,Sentence: 7,E,I-COM
119,Sentence: 7,G,I-COM
120,Sentence: 7,I,I-COM
121,Sentence: 7,N,I-COM
122,Sentence: 8,GIA,B-COM
123,Sentence: 8,PHAM,I-COM
124,Sentence: 8,VN,I-COM
125,Sentence: 8,CONS,I-COM
126,Sentence: 8,"CO.,LTD",I-COM
127,Sentence: 8,",",O
128,Sentence: 8,CÔNG,B-COM
129,Sentence: 8,TY,I-COM
130,Sentence: 8,TNHH,I-COM
131,Sentence: 8,XÂY,I-COM
132,Sentence: 8,DỰNG,I-COM
133,Sentence: 8,GIA,I-COM
134,Sentence: 8,PHẠM,I-COM
135,Sentence: 8,VIỆT,I-COM
136,Sentence: 8,NAM,I-COM
137,Sentence: 9,TRUNG,B-COM
138,Sentence: 9,KY,I-COM
139,Sentence: 9,"CO.,LTD",I-COM
140,Sentence: 9,",",O
141,Sentence: 9,TRUNG,B-COM
142,Sentence: 9,KY,I-COM
143,Sentence: 9,"CO.,LTD",I-COM
144,Sentence: 9,",",O
145,Sentence: 9,CÔNG,B-COM
146,Sentence: 9,TY,I-COM
147,Sentence: 9,CP,I-COM
148,Sentence: 9,THƯƠNG,I-COM
149,Sentence: 9,MẠI,I-COM
150,Sentence: 9,HIẾU,I-COM
151,Sentence: 9,DƯƠNG,I-COM
152,Sentence: 10,T.B.K,B-COM
153,Sentence: 10,"CO.,",I-COM
154,Sentence: 10,LTD,I-COM
155,Sentence: 10,",",O
156,Sentence: 10,CÔNG,B-COM
157,Sentence: 10,TY,I-COM
158,Sentence: 10,TNHH,I-COM
159,Sentence: 10,THƯƠNG,I-COM
160,Sentence: 10,MẠI,I-COM
161,Sentence: 10,-,I-COM
162,Sentence: 10,DỊCH,I-COM
163,Sentence: 10,VỤ,I-COM
164,Sentence: 10,-,I-COM
165,Sentence: 10,TỔNG,I-COM
166,Sentence: 10,HỢP,I-COM
167,Sentence: 10,TÂN,I-COM
168,Sentence: 10,BẢO,I-COM
169,Sentence: 10,KHOA,I-COM
170,Sentence: 11,HT,B-COM
171,Sentence: 11,HA,I-COM
172,Sentence: 11,VY,I-COM
173,Sentence: 11,"CO.,",I-COM
174,Sentence: 11,LTD,I-COM
175,Sentence: 11,",",O
176,Sentence: 11,HT,B-COM
177,Sentence: 11,HA,I-COM
178,Sentence: 11,VY,I-COM
179,Sentence: 11,"CO.,",I-COM
180,Sentence: 11,LTD,I-COM
181,Sentence: 11,",",O
182,Sentence: 11,CÔNG,B-COM
183,Sentence: 11,TY,I-COM
184,Sentence: 11,TNHH,I-COM
185,Sentence: 11,ĐẦU,I-COM
186,Sentence: 11,TƯ,I-COM
187,Sentence: 11,XÂY,I-COM
188,Sentence: 11,DỰNG,I-COM
189,Sentence: 11,HT,I-COM
190,Sentence: 11,HÀ,I-COM
191,Sentence: 11,VY,I-COM
192,Sentence: 12,TKID,B-COM
193,Sentence: 12,"CO.,LTD",I-COM
194,Sentence: 12,",",O
195,Sentence: 12,Tien,B-COM
196,Sentence: 12,Khoa,I-COM
197,Sentence: 12,Interior,I-COM
198,Sentence: 12,Decoration,I-COM
199,Sentence: 12,Company,I-COM
200,Sentence: 12,Limited,I-COM
201,Sentence: 12,",",O
202,Sentence: 12,Công,B-COM
203,Sentence: 12,Ty,I-COM
204,Sentence: 12,TNHH,I-COM
205,Sentence: 12,Trang,I-COM
206,Sentence: 12,Trí,I-COM
207,Sentence: 12,Nội,I-COM
208,Sentence: 12,Thất,I-COM
209,Sentence: 12,Tiến,I-COM
210,Sentence: 12,Khoa,I-COM
211,Sentence: 13,BAYMOIGIO,B-COM
212,Sentence: 13,"CO.,LTD",I-COM
213,Sentence: 13,",",O
214,Sentence: 13,BAYMOIGIO,B-COM
215,Sentence: 13,"CO.,LTD",I-COM
216,Sentence: 13,",",O
217,Sentence: 13,CÔNG,B-COM
218,Sentence: 13,TY,I-COM
219,Sentence: 13,TNHH,I-COM
220,Sentence: 13,THƯƠNG,I-COM
221,Sentence: 13,MẠI,I-COM
222,Sentence: 13,DỊCH,I-COM
223,Sentence: 13,VỤ,I-COM
224,Sentence: 13,MỘT,I-COM
225,Sentence: 13,THÀNH,I-COM
226,Sentence: 13,VIÊN,I-COM
227,Sentence: 13,BAY,I-COM
228,Sentence: 13,MỖI,I-COM
229,Sentence: 13,GIỜ,I-COM
230,Sentence: 14,CÔNG,B-COM
231,Sentence: 14,TY,I-COM
232,Sentence: 14,CỔ,I-COM
233,Sentence: 14,PHẦN,I-COM
234,Sentence: 14,ĐẦU,I-COM
235,Sentence: 14,TƯ,I-COM
236,Sentence: 14,PHÁT,I-COM
237,Sentence: 14,TRIỂN,I-COM
238,Sentence: 14,XÂY,I-COM
239,Sentence: 14,DỰNG,I-COM
240,Sentence: 14,ĐẠI,I-COM
241,Sentence: 14,LỢI,I-COM
242,Sentence: 15,HAPPY,B-COM
243,Sentence: 15,GOLD,I-COM
244,Sentence: 15,SERVICE,I-COM
245,Sentence: 15,COMPANY,I-COM
246,Sentence: 15,LIMITED,I-COM
247,Sentence: 15,",",O
248,Sentence: 15,HAPPY,B-COM
249,Sentence: 15,GOLD,I-COM
250,Sentence: 15,SERVICE,I-COM
251,Sentence: 15,COMPANY,I-COM
252,Sentence: 15,LIMITED,I-COM
253,Sentence: 15,",",O
254,Sentence: 15,CÔNG,B-COM
255,Sentence: 15,TY,I-COM
256,Sentence: 15,TNHH,I-COM
257,Sentence: 15,HAPPY,I-COM
258,Sentence: 15,GOLD,I-COM
259,Sentence: 16,CÔNG,B-COM
260,Sentence: 16,TY,I-COM
261,Sentence: 16,TNHH,I-COM
262,Sentence: 16,SẢN,I-COM
263,Sentence: 16,XUẤT,I-COM
264,Sentence: 16,THƯƠNG,I-COM
265,Sentence: 16,MẠI,I-COM
266,Sentence: 16,KHOÁNG,I-COM
267,Sentence: 16,SẢN,I-COM
268,Sentence: 16,HẢI,I-COM
269,Sentence: 16,SƠN,I-COM
270,Sentence: 17,RENTAL,B-COM
271,Sentence: 17,LAND,I-COM
272,Sentence: 17,",",O
273,Sentence: 17,RENTAL,B-COM
274,Sentence: 17,LAND,I-COM
275,Sentence: 17,",",O
276,Sentence: 17,CÔNG,B-COM
277,Sentence: 17,TY,I-COM
278,Sentence: 17,TNHH,I-COM
279,Sentence: 17,RENTAL,I-COM
280,Sentence: 17,LAND,I-COM
281,Sentence: 18,CÔNG,B-COM
282,Sentence: 18,TY,I-COM
283,Sentence: 18,TNHH,I-COM
284,Sentence: 18,ĐẦU,I-COM
285,Sentence: 18,TƯ,I-COM
286,Sentence: 18,XÂY,I-COM
287,Sentence: 18,DỰNG,I-COM
288,Sentence: 18,VÀ,I-COM
289,Sentence: 18,THƯƠNG,I-COM
290,Sentence: 18,MẠI,I-COM
291,Sentence: 18,ĐÔNG,I-COM
292,Sentence: 18,LONG,I-COM
293,Sentence: 19,FULL,B-COM
294,Sentence: 19,PLAN,I-COM
295,Sentence: 19,",",O
296,Sentence: 19,FULL,B-COM
297,Sentence: 19,PLAN,I-COM
298,Sentence: 19,CORPORATION,I-COM
299,Sentence: 19,",",O
300,Sentence: 19,CÔNG,B-COM
301,Sentence: 19,TY,I-COM
302,Sentence: 19,CỔ,I-COM
303,Sentence: 19,PHẦN,I-COM
304,Sentence: 19,FULL,I-COM
305,Sentence: 19,PLAN,I-COM
306,Sentence: 20,CÔNG,B-COM
307,Sentence: 20,TY,I-COM
308,Sentence: 20,TNHH,I-COM
309,Sentence: 20,CÂY,I-COM
310,Sentence: 20,XANH,I-COM
311,Sentence: 20,HUYỀN,I-COM
312,Sentence: 20,DŨNG,I-COM
313,Sentence: 21,VAN,B-COM
314,Sentence: 21,PHAT,I-COM
315,Sentence: 21,GARMENT,I-COM
316,Sentence: 21,COMPANY,I-COM
317,Sentence: 21,LIMITED,I-COM
318,Sentence: 21,",",O
319,Sentence: 21,CÔNG,B-COM
320,Sentence: 21,TY,I-COM
321,Sentence: 21,TNHH,I-COM
322,Sentence: 21,MAY,I-COM
