brief_name,eng_name,name
-1,S&t Logistics And Trading Service Company Limited,Công Ty TNHH Tiếp Vận Và Dịch Vụ Thương Mại S&t
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VẬN TẢI MAY PHÚC AN
-1,-1,CÔNG TY TNHH BÁCH THI
CTY TNHH MTV DƯƠNG ĐÔNG - GIA LAI,CTY TNHH MTV DƯƠNG ĐÔNG - GIA LAI,CÔNG TY TNHH MỘT THÀNH VIÊN DƯƠNG ĐÔNG - GIA LAI
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬT LIỆU XÂY DỰNG YẾN NGỌC
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN KỸ NGHỆ
"KIEN TRUC ADH, JSC","KIEN TRUC ADH, JSC",CÔNG TY CỔ PHẦN KIẾN TRÚC ADH
-1,-1,"CÔNG TY CỔ PHẦN ĐẦU TƯ, THƯƠNG MẠI HOÀNG CÔNG"
"MTV ADS., JSC","MTV ADS., JSC",CÔNG TY CỔ PHẦN QUẢNG CÁO VÀ DỊCH VỤ MẶT TRỜI VIỆT
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN NHÀ MI
CTY TNHH TT&DV VIETSHOW CÀ MAU,CTY TNHH TT&DV VIETSHOW CÀ MAU,CÔNG TY TNHH TRUYỀN THÔNG VÀ DỊCH VỤ VIETSHOW CÀ MAU
-1,-1,CÔNG TY TNHH VIỆT TẤN
G.D.S COMPANY LIMITED,G.D.S COMPANY LIMITED,CÔNG TY TRÁCH NHIỆM HỮU HẠN G.D.S
"B5 IT CO., LTD","B5 IT CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ CÔNG NGHỆ THÔNG TIN B5
"CHIEN THUY PHU THO CO.,LTD","CHIEN THUY PHU THO CO.,LTD",CÔNG TY TNHH CHIẾN THỦY PHÚ THỌ
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯỜNG UYÊN
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN TUẤN HÀ
"VESTA PHARMA.,JSC",VESTA PHARMACEUTICAL DEVELOP JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN PHÁT TRIỂN DƯỢC VESTA
-1,-1,CÔNG TY TNHH VIỆT THÔNG XANH
-1,-1,CÔNG TY TNHH MỸ LINH PLASTIC
"THIEN LONG FISHERY IMPORT PRODUCTION CO., LTD",Thien Long Fishery Import Production Company Limited,Công Ty TNHH Sản Xuất - Nhập Khẩu Thủy Sản Thiên Long
CÔNG TY TNHH MTV CÚN YÊU,Công Ty TNHH Mtv Cún Yêu,Công Ty TNHH Mtv Cún Yêu
-1,-1,CÔNG TY TNHH MTV KHẮC DẤU & QUẢNG CÁO BẰNG LĂNG
168 CONTRUCTION HAULAGE TRADING ONE MEMBER COMPANY LIMITED,168 CONTRUCTION HAULAGE TRADING ONE MEMBER COMPANY LIMITED,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VẬN TẢI XÂY DỰNG 168
TRONG TIEN ELECTRASSECO,TRONG TIEN ELECTRASSECO,CÔNG TY CỔ PHẦN XÂY LẮP ĐIỆN LÂM HOA
DUC HIEP TRACO-JSC,DUC HIEP TRACO-JSC,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẬN TẢI VÀ XÂY DỰNG ĐỨC HIỆP
NGOC LAC GREENFOODS,Ngoc Lac Greenfoods Joint Stock Company,Công Ty Cổ Phần Greenfoods Ngọc Lặc
SOUND WORLD SVS COMPANY LIMITED,SOUND WORLD SVS COMPANY LIMITED,CÔNG TY TNHH SVS THẾ GIỚI ÂM THANH
CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VIỄN THÔNG BẢO TOÀN,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VIỄN THÔNG BẢO TOÀN,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VIỄN THÔNG BẢO TOÀN
THANH HAI DUNG COMPANY LIMITED,THANH HAI DUNG COMPANY LIMITED,CÔNG TY TNHH THÀNH HẢI DUNG
-1,CTY TNHH TV TK ĐỊA ỐC,CÔNG TY TNHH TƯ VẤN THIẾT KẾ ĐỊA ỐC
THIÊN PHÚ 667,THIÊN PHÚ 667,CÔNG TY CỔ PHẦN XÂY DỰNG THIÊN PHÚ 667
-1,-1,CÔNG TY TNHH HẢI KẾ
-1,-1,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI THỊNH PHÁT
CIC,CIC,CÔNG TY CỔ PHẦN TƯ VẤN & XÂY DỰNG CIC
DANTRACE.JSC,DANTRACE.JSC,CÔNG TY CP THƯƠNG MẠI DỊCH VỤ ĐỨC NHÂN SEN VÀNG
-1,-1,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG VÀ THƯƠNG MẠI BÌNH MINH HƯNG YÊN
